Resultados ordenados - 2025-05-14 23:17:37
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=1000, m/n=4.0, WalkSAT Success: 3.0%, Total Flips: 2956805, Time: 1555.49 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 1598.84 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 1713.55 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 1695.22 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 3000000, Time: 0.00 seconds

================================================================================
Fin de resultados

c=10, Q=0.8, p=0.5, n=50, m/n=2.5, WalkSAT Success: 95.0%, Total Flips: 9485, Time: 5.85 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.6, WalkSAT Success: 93.0%, Total Flips: 12675, Time: 6.51 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.7, WalkSAT Success: 89.0%, Total Flips: 18734, Time: 7.98 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.8, WalkSAT Success: 88.0%, Total Flips: 20632, Time: 8.05 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.9, WalkSAT Success: 83.0%, Total Flips: 28489, Time: 9.72 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.0, WalkSAT Success: 79.0%, Total Flips: 34507, Time: 10.87 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.1, WalkSAT Success: 76.0%, Total Flips: 40655, Time: 11.70 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.2, WalkSAT Success: 76.0%, Total Flips: 40287, Time: 11.91 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.4, WalkSAT Success: 62.0%, Total Flips: 60939, Time: 16.18 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.3, WalkSAT Success: 59.0%, Total Flips: 64337, Time: 16.50 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.5, WalkSAT Success: 55.0%, Total Flips: 70641, Time: 24.16 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.6, WalkSAT Success: 49.0%, Total Flips: 80554, Time: 28.28 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.9, WalkSAT Success: 44.0%, Total Flips: 88553, Time: 31.69 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.7, WalkSAT Success: 38.0%, Total Flips: 95586, Time: 32.31 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.8, WalkSAT Success: 23.0%, Total Flips: 117427, Time: 38.38 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.0, WalkSAT Success: 25.0%, Total Flips: 114638, Time: 38.92 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.1, WalkSAT Success: 27.0%, Total Flips: 111634, Time: 39.18 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.2, WalkSAT Success: 19.0%, Total Flips: 123069, Time: 41.91 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.3, WalkSAT Success: 8.0%, Total Flips: 138485, Time: 46.66 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.4, WalkSAT Success: 10.0%, Total Flips: 136036, Time: 46.77 seconds
