Resultados ordenados - 2025-06-06 09:59:25
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=250, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 31916, Time: 9.97 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 42559, Time: 10.95 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 54671, Time: 12.01 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 67327, Time: 12.92 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 92509, Time: 24.30 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.6, WalkSAT Success: 95.0%, Total Flips: 149484, Time: 31.67 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.7, WalkSAT Success: 91.0%, Total Flips: 212188, Time: 39.44 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.8, WalkSAT Success: 73.0%, Total Flips: 349629, Time: 53.47 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=3.9, WalkSAT Success: 50.0%, Total Flips: 491629, Time: 68.28 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.0, WalkSAT Success: 43.0%, Total Flips: 546530, Time: 72.28 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.1, WalkSAT Success: 19.0%, Total Flips: 667475, Time: 82.56 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.2, WalkSAT Success: 8.0%, Total Flips: 717166, Time: 88.87 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.3, WalkSAT Success: 1.0%, Total Flips: 743493, Time: 92.78 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 94.48 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.5, WalkSAT Success: 1.0%, Total Flips: 744119, Time: 130.39 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 135.77 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 136.58 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 138.56 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 141.46 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 142.84 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 145.47 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 147.32 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 149.21 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 150.41 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
