Resultados ordenados - 2025-06-15 13:17:56
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=1000, Success Rate: 28.0%, Total Flips: 226828, Time: 66.39 seconds
    p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=1000, Success Rate: 20.0%, Total Flips: 246053, Time: 70.81 seconds
    p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=1000, Success Rate: 22.0%, Total Flips: 240941, Time: 71.50 seconds
    p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=1000, Success Rate: 19.0%, Total Flips: 249849, Time: 73.20 seconds
    p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=1000, Success Rate: 10.0%, Total Flips: 273817, Time: 77.99 seconds
    p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=1000, Success Rate: 7.0%, Total Flips: 280219, Time: 80.28 seconds
    p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=1000, Success Rate: 1.0%, Total Flips: 297073, Time: 108.27 seconds
    p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=1000, Success Rate: 4.0%, Total Flips: 290228, Time: 108.59 seconds
    p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=1000, Success Rate: 0.0%, Total Flips: 300000, Time: 109.78 seconds
    p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=1000, Success Rate: 1.0%, Total Flips: 297100, Time: 111.48 seconds

#################### Max Tries = 10 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=2.5, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 2110, Time: 1.84 seconds
    p=0.5, n=50, m/n=2.6, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 2534, Time: 1.89 seconds
    p=0.5, n=50, m/n=2.7, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 2895, Time: 1.88 seconds
    p=0.5, n=50, m/n=2.8, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 3003, Time: 1.95 seconds
    p=0.5, n=50, m/n=2.9, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 3453, Time: 1.99 seconds
